name,symbol,price,market_cap,volume,24h_change
Bitcoin,btc,107936.0,2145537412150,34120714142,-1.42251
Ethereum,eth,2770.21,334531051763,28974826010,-0.6225
Tether,usdt,1.0,155204328389,45925719270,0.01184
XRP,xrp,2.25,132449872174,2600596945,-1.71244
BNB,bnb,667.88,97497390311,625608426,-0.57181
Solana,sol,159.34,83872681837,5154604028,-3.94143
USDC,usdc,0.999809,61213603840,11226557237,0.00367
Dogecoin,doge,0.191015,28585572619,1558461840,-3.65282
TRON,trx,0.274082,25993573501,1050530104,-5.55372
Lido Staked Ether,steth,2767.76,25071972339,18965776,-0.849
